"","id","lon","lat","n_building"
"1",1,-105.533439037686,40.2577737597724,0
"2",2,-105.532263141802,40.2577791742727,0
"3",3,-105.531087245598,40.2577845768253,0
"4",4,-105.529911349078,40.2577899674301,0
"5",5,-105.52873545224,40.2577953460871,0
"6",6,-105.527559555086,40.2578007127963,0
"7",7,-105.526383657616,40.2578060675577,0
"8",8,-105.525207759832,40.2578114103712,0
"9",9,-105.524031861734,40.2578167412369,0
"10",10,-105.522855963322,40.2578220601547,0
"11",11,-105.521680064597,40.2578273671247,0
"12",12,-105.520504165561,40.2578326621468,0
"13",13,-105.519328266213,40.2578379452211,0
"14",14,-105.518152366554,40.2578432163474,0
"15",15,-105.516976466586,40.2578484755259,0
"16",16,-105.515800566308,40.2578537227564,0
"17",17,-105.514624665722,40.257858958039,0
"18",18,-105.513448764828,40.2578641813738,0
"19",19,-105.512272863627,40.2578693927605,0
"20",20,-105.51109696212,40.2578745921994,0
"21",21,-105.509921060307,40.2578797796902,0
"22",22,-105.508745158189,40.2578849552332,0
"23",23,-105.54226447518,40.2585129721001,0
"24",24,-105.5410885682,40.2585184763595,0
"25",25,-105.539912660896,40.2585239686709,0
"26",26,-105.53873675327,40.2585294490343,2
"27",27,-105.537560845321,40.2585349174496,0
"28",28,-105.536384937051,40.2585403739168,2
"29",29,-105.535209028459,40.2585458184359,0
"30",30,-105.534033119548,40.258551251007,1
"31",31,-105.532857210318,40.2585566716299,0
"32",32,-105.531681300768,40.2585620803048,0
"33",33,-105.530505390901,40.2585674770315,1
"34",34,-105.529329480716,40.2585728618101,0
"35",35,-105.528153570215,40.2585782346406,0
"36",36,-105.526977659398,40.2585835955229,0
"37",37,-105.525801748265,40.2585889444571,0
"38",38,-105.524625836819,40.2585942814431,0
"39",39,-105.523449925058,40.258599606481,0
"40",40,-105.522274012984,40.2586049195706,0
"41",41,-105.521098100598,40.2586102207121,0
"42",42,-105.519922187901,40.2586155099053,0
"43",43,-105.518746274892,40.2586207871504,0
"44",44,-105.517570361573,40.2586260524472,0
"45",45,-105.516394447945,40.2586313057958,0
"46",46,-105.515218534007,40.2586365471962,0
"47",47,-105.514042619762,40.2586417766483,0
"48",48,-105.512866705209,40.2586469941522,0
"49",49,-105.511690790349,40.2586521997078,0
"50",50,-105.510514875183,40.2586573933151,0
"51",51,-105.509338959712,40.2586625749742,0
"52",52,-105.508163043936,40.2586677446849,0
"53",53,-105.506987127857,40.2586729024474,0
"54",54,-105.505811211474,40.2586780482615,0
"55",55,-105.504635294788,40.2586831821273,0
"56",56,-105.503459377801,40.2586883040448,0
"57",57,-105.502283460513,40.258693414014,0
"58",58,-105.501107542924,40.2586985120348,0
"59",59,-105.499931625035,40.2587035981072,0
"60",60,-105.54756234216,40.2592682562013,0
"61",61,-105.546386423139,40.2592738143793,0
"62",62,-105.545210503792,40.2592793606089,0
"63",63,-105.544034584119,40.2592848948902,0
"64",64,-105.54285866412,40.2592904172232,0
"65",65,-105.541682743796,40.2592959276078,1
"66",66,-105.540506823148,40.259301426044,4
"67",67,-105.539330902177,40.2593069125319,0
"68",68,-105.538154980884,40.2593123870714,2
"69",69,-105.536979059269,40.2593178496625,1
"70",70,-105.535803137332,40.2593233003052,2
"71",71,-105.534627215075,40.2593287389995,0
"72",72,-105.533451292498,40.2593341657453,1
"73",73,-105.532275369603,40.2593395805428,0
"74",74,-105.531099446388,40.2593449833918,0
"75",75,-105.529923522856,40.2593503742923,0
"76",76,-105.528747599008,40.2593557532444,0
"77",77,-105.527571674842,40.259361120248,0
"78",78,-105.526395750362,40.2593664753032,0
"79",79,-105.525219825566,40.2593718184098,0
"80",80,-105.524043900457,40.259377149568,0
"81",81,-105.522867975034,40.2593824687776,0
"82",82,-105.521692049298,40.2593877760388,0
"83",83,-105.52051612325,40.2593930713514,0
"84",84,-105.519340196891,40.2593983547155,0
"85",85,-105.518164270221,40.259403626131,0
"86",86,-105.516988343241,40.259408885598,0
"87",87,-105.515812415952,40.2594141331165,0
"88",88,-105.514636488355,40.2594193686863,0
"89",89,-105.513460560449,40.2594245923076,0
"90",90,-105.512284632237,40.2594298039803,0
"91",91,-105.511108703718,40.2594350037044,0
"92",92,-105.509932774894,40.2594401914799,0
"93",93,-105.508756845764,40.2594453673068,0
"94",94,-105.50758091633,40.259450531185,0
"95",95,-105.506404986593,40.2594556831146,0
"96",96,-105.505229056552,40.2594608230956,0
"97",97,-105.50405312621,40.2594659511279,0
"98",98,-105.502877195566,40.2594710672116,0
"99",99,-105.501701264621,40.2594761713466,0
"100",100,-105.500525333376,40.2594812635329,0
"101",101,-105.499349401832,40.2594863437705,0
"102",102,-105.498173469989,40.2594914120595,0
"103",103,-105.496997537848,40.2594964683997,0
"104",104,-105.49582160541,40.2595015127912,0
"105",105,-105.494645672675,40.259506545234,0
"106",106,-105.493469739644,40.2595115657281,0
"107",107,-105.552860324306,40.2600232968691,0
"108",108,-105.551684393259,40.2600289089683,0
"109",109,-105.550508461882,40.260034509119,0
"110",110,-105.549332530175,40.260040097321,0
"111",111,-105.54815659814,40.2600456735744,0
"112",112,-105.546980665777,40.2600512378791,0
"113",113,-105.545804733087,40.2600567902352,0
"114",114,-105.54462880007,40.2600623306427,0
"115",115,-105.543452866728,40.2600678591014,0
"116",116,-105.54227693306,40.2600733756116,0
"117",117,-105.541100999068,40.260078880173,1
"118",118,-105.539925064753,40.2600843727857,1
"119",119,-105.538749130114,40.2600898534497,0
"120",120,-105.537573195153,40.260095322165,1
"121",121,-105.536397259871,40.2601007789316,0
"122",122,-105.535221324268,40.2601062237495,0
"123",123,-105.534045388345,40.2601116566186,1
"124",124,-105.532869452102,40.2601170775389,0
"125",125,-105.531693515541,40.2601224865105,0
"126",126,-105.530517578661,40.2601278835333,0
"127",127,-105.529341641464,40.2601332686074,0
"128",128,-105.528165703951,40.2601386417326,0
"129",129,-105.526989766122,40.260144002909,0
"130",130,-105.525813827977,40.2601493521367,0
"131",131,-105.524637889518,40.2601546894155,0
"132",132,-105.523461950745,40.2601600147455,0
"133",133,-105.522286011659,40.2601653281266,0
"134",134,-105.521110072261,40.2601706295589,0
"135",135,-105.519934132551,40.2601759190424,0
"136",136,-105.51875819253,40.260181196577,0
"137",137,-105.517582252199,40.2601864621627,0
"138",138,-105.516406311558,40.2601917157995,0
"139",139,-105.515230370608,40.2601969574874,0
"140",140,-105.51405442935,40.2602021872265,0
"141",141,-105.512878487784,40.2602074050166,0
"142",142,-105.511702545912,40.2602126108578,0
"143",143,-105.510526603734,40.2602178047501,0
"144",144,-105.50935066125,40.2602229866934,0
"145",145,-105.508174718462,40.2602281566878,0
"146",146,-105.506998775369,40.2602333147332,0
"147",147,-105.505822831974,40.2602384608296,0
"148",148,-105.504646888276,40.2602435949771,0
"149",149,-105.503470944276,40.2602487171756,0
"150",150,-105.502294999974,40.2602538274251,0
"151",151,-105.501119055373,40.2602589257257,0
"152",152,-105.499943110471,40.2602640120772,0
"153",153,-105.498767165271,40.2602690864796,0
"154",154,-105.497591219772,40.2602741489331,0
"155",155,-105.496415273976,40.2602791994375,0
"156",156,-105.495239327883,40.2602842379929,0
"157",157,-105.494063381493,40.2602892645992,0
"158",158,-105.492887434808,40.2602942792564,0
"159",159,-105.491711487828,40.2602992819646,0
"160",160,-105.490535540554,40.2603042727237,0
"161",161,-105.489359592987,40.2603092515337,0
"162",162,-105.556982478501,40.2607837601077,0
"163",163,-105.555806535108,40.2607894141821,0
"164",164,-105.554630591382,40.2607950563076,0
"165",165,-105.553454647324,40.2608006864842,0
"166",166,-105.552278702935,40.2608063047118,0
"167",167,-105.551102758216,40.2608119109905,0
"168",168,-105.549926813168,40.2608175053203,0
"169",169,-105.54875086779,40.2608230877012,0
"170",170,-105.547574922084,40.260828658133,0
"171",171,-105.546398976051,40.2608342166159,0
"172",172,-105.545223029691,40.2608397631499,0
"173",173,-105.544047083004,40.2608452977348,0
"174",174,-105.542871135993,40.2608508203707,0
"175",175,-105.541695188656,40.2608563310577,1
"176",176,-105.540519240996,40.2608618297956,0
"177",177,-105.539343293012,40.2608673165844,1
"178",178,-105.538167344705,40.2608727914243,0
"179",179,-105.536991396077,40.2608782543151,0
"180",180,-105.535815447127,40.2608837052568,0
"181",181,-105.534639497857,40.2608891442495,1
"182",182,-105.533463548267,40.2608945712931,0
"183",183,-105.532287598359,40.2608999863876,0
"184",184,-105.531111648131,40.260905389533,0
"185",185,-105.529935697586,40.2609107807293,0
"186",186,-105.528759746724,40.2609161599765,0
"187",187,-105.527583795546,40.2609215272746,0
"188",188,-105.526407844052,40.2609268826235,0
"189",189,-105.525231892243,40.2609322260233,0
"190",190,-105.52405594012,40.260937557474,0
"191",191,-105.522879987684,40.2609428769755,0
"192",192,-105.521704034935,40.2609481845278,0
"193",193,-105.520528081873,40.2609534801309,0
"194",194,-105.519352128501,40.2609587637849,0
"195",195,-105.518176174817,40.2609640354896,0
"196",196,-105.517000220824,40.2609692952452,0
"197",197,-105.515824266522,40.2609745430515,0
"198",198,-105.514648311911,40.2609797789086,0
"199",199,-105.513472356992,40.2609850028165,0
"200",200,-105.512296401766,40.2609902147751,0
"201",201,-105.511120446233,40.2609954147845,0
"202",202,-105.509944490395,40.2610006028446,0
"203",203,-105.508768534252,40.2610057789554,0
"204",204,-105.507592577804,40.261010943117,0
"205",205,-105.506416621053,40.2610160953293,0
"206",206,-105.505240663999,40.2610212355922,0
"207",207,-105.504064706643,40.2610263639059,0
"208",208,-105.502888748985,40.2610314802703,0
"209",209,-105.501712791026,40.2610365846853,0
"210",210,-105.500536832768,40.261041677151,0
"211",211,-105.49936087421,40.2610467576673,0
"212",212,-105.498184915353,40.2610518262343,0
"213",213,-105.497008956198,40.261056882852,0
"214",214,-105.495832996746,40.2610619275202,0
"215",215,-105.494657036997,40.2610669602391,0
"216",216,-105.493481076952,40.2610719810086,0
"217",217,-105.492305116613,40.2610769898287,0
"218",218,-105.491129155978,40.2610819866994,0
"219",219,-105.48995319505,40.2610869716207,0
"220",220,-105.488777233829,40.2610919445926,0
"221",221,-105.487601272316,40.261096905615,0
"222",222,-105.48642531051,40.261101854688,0
"223",223,-105.485249348414,40.2611067918116,0
"224",224,-105.484073386028,40.2611117169857,0
"225",225,-105.561104723412,40.2615440757792,0
"226",226,-105.559928767681,40.261549771831,0
"227",227,-105.558752811614,40.2615554559335,0
"228",228,-105.557576855214,40.2615611280868,0
"229",229,-105.55640089848,40.2615667882909,0
"230",230,-105.555224941413,40.2615724365457,0
"231",231,-105.554048984014,40.2615780728514,0
"232",232,-105.552873026284,40.2615836972078,0
"233",233,-105.551697068223,40.2615893096149,0
"234",234,-105.550521109832,40.2615949100728,0
"235",235,-105.549345151111,40.2616004985814,0
"236",236,-105.548169192062,40.2616060751407,0
"237",237,-105.546993232686,40.2616116397508,0
"238",238,-105.545817272981,40.2616171924115,0
"239",239,-105.544641312951,40.2616227331229,1
"240",240,-105.543465352595,40.261628261885,0
"241",241,-105.542289391913,40.2616337786977,0
"242",242,-105.541113430907,40.2616392835612,0
"243",243,-105.539937469578,40.2616447764752,0
"244",244,-105.538761507925,40.2616502574399,0
"245",245,-105.53758554595,40.2616557264553,0
"246",246,-105.536409583654,40.2616611835212,0
"247",247,-105.535233621037,40.2616666286378,0
"248",248,-105.5340576581,40.261672061805,0
"249",249,-105.532881694843,40.2616774830227,0
"250",250,-105.531705731267,40.2616828922911,0
"251",251,-105.530529767373,40.26168828961,0
"252",252,-105.529353803162,40.2616936749795,0
"253",253,-105.528177838635,40.2616990483995,0
"254",254,-105.527001873791,40.2617044098701,0
"255",255,-105.525825908632,40.2617097593912,0
"256",256,-105.524649943159,40.2617150969628,0
"257",257,-105.523473977372,40.261720422585,0
"258",258,-105.522298011271,40.2617257362576,0
"259",259,-105.521122044859,40.2617310379808,0
"260",260,-105.519946078134,40.2617363277544,0
"261",261,-105.518770111099,40.2617416055786,0
"262",262,-105.517594143753,40.2617468714532,0
"263",263,-105.516418176097,40.2617521253782,0
"264",264,-105.515242208133,40.2617573673537,0
"265",265,-105.51406623986,40.2617625973797,0
"266",266,-105.51289027128,40.2617678154561,0
"267",267,-105.511714302393,40.2617730215829,0
"268",268,-105.5105383332,40.2617782157601,0
"269",269,-105.509362363702,40.2617833979877,0
"270",270,-105.508186393899,40.2617885682657,0
"271",271,-105.507010423792,40.2617937265941,0
"272",272,-105.505834453381,40.2617988729729,0
"273",273,-105.504658482668,40.2618040074021,0
"274",274,-105.503482511654,40.2618091298816,0
"275",275,-105.502306540338,40.2618142404115,0
"276",276,-105.501130568721,40.2618193389917,0
"277",277,-105.499954596805,40.2618244256223,0
"278",278,-105.498778624589,40.2618295003032,0
"279",279,-105.497602652076,40.2618345630343,0
"280",280,-105.496426679264,40.2618396138158,0
"281",281,-105.495250706156,40.2618446526476,0
"282",282,-105.494074732752,40.2618496795297,0
"283",283,-105.492898759051,40.2618546944621,0
